Month Import,state,county,US Region,Probability of Initial Transmission,Infections (Median),Infections (25th Percentile),Infections (75th Percentile),Proportion Infected (Median),Proportion Infected (25th Percentile),Proportion Infected (75th Percentile),Infected in Pregnancy (Median),Infected in Pregnancy (25th Percentile),Infected in Pregnancy (75th Percentile)
1,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Autauga,SE,0.01,1,1,1,1.81E-05,1.81E-05,1.81E-05,0,0,0
5,Alabama,Autauga,SE,0.33,23,1,645,0.0004156,1.81E-05,0.01165,0,0,6
6,Alabama,Autauga,SE,0.61,277,4,1226,0.005005,7.23E-05,0.02215,2,0,9
7,Alabama,Autauga,SE,0.71,144,41.5,363,0.002602,0.0007498,0.006559,0,0,3
8,Alabama,Autauga,SE,0.7,26,7,49.75,0.0004698,0.0001265,0.0008989,0,0,0
9,Alabama,Autauga,SE,0.62,4,2,8,7.23E-05,3.61E-05,0.0001445,0,0,0
10,Alabama,Autauga,SE,0.1,1,1,1.75,1.81E-05,1.81E-05,3.16E-05,0,0,0
11,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Autauga,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Baldwin,SE,0.05,3,1,1804,1.47E-05,4.91E-06,0.008856,0,0,20
5,Alabama,Baldwin,SE,0.33,15,2,3771,7.36E-05,9.82E-06,0.01851,0,0,30
6,Alabama,Baldwin,SE,0.63,5136,653.5,10480,0.02521,0.003208,0.05144,38,2.5,90
7,Alabama,Baldwin,SE,0.79,671,197.5,1819,0.003294,0.0009695,0.008929,6,0,16
8,Alabama,Baldwin,SE,0.78,99,43.75,227.5,0.000486,0.0002148,0.001117,0,0,3
9,Alabama,Baldwin,SE,0.67,10,3,20,4.91E-05,1.47E-05,9.82E-05,0,0,0
10,Alabama,Baldwin,SE,0.17,1,1,2,4.91E-06,4.91E-06,9.82E-06,0,0,0
11,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Baldwin,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Barbour,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Barbour,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Barbour,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Barbour,SE,0.03,59,30,205,0.002227,0.001133,0.007739,0,0,2
5,Alabama,Barbour,SE,0.18,31,1.25,162.2,0.00117,4.72E-05,0.006125,0,0,2.25
6,Alabama,Barbour,SE,0.56,97,14,305,0.003662,0.0005285,0.01151,0,0,3
7,Alabama,Barbour,SE,0.74,44,4.25,118.8,0.001661,0.0001604,0.004483,0,0,0
8,Alabama,Barbour,SE,0.64,18.5,8.75,27.25,0.0006984,0.0003303,0.001029,0,0,0
9,Alabama,Barbour,SE,0.62,3,2,6,0.0001133,7.55E-05,0.0002265,0,0,0
10,Alabama,Barbour,SE,0.05,2,1,2,7.55E-05,3.78E-05,7.55E-05,0,0,0
11,Alabama,Barbour,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Barbour,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Bibb,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Bibb,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Bibb,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Bibb,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Bibb,SE,0.19,3,1,451.5,0.0001328,4.43E-05,0.01999,0,0,2
6,Alabama,Bibb,SE,0.59,298,25,732.5,0.0132,0.001107,0.03243,1,0,5
7,Alabama,Bibb,SE,0.76,97.5,28.5,224.2,0.004317,0.001262,0.00993,0,0,2.25
8,Alabama,Bibb,SE,0.74,19,5,55.75,0.0008413,0.0002214,0.002469,0,0,0
9,Alabama,Bibb,SE,0.56,3,2,6,0.0001328,8.86E-05,0.0002657,0,0,0
10,Alabama,Bibb,SE,0.04,1,1,2,4.43E-05,4.43E-05,8.86E-05,0,0,0
11,Alabama,Bibb,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Bibb,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Blount,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Blount,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Blount,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Blount,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Blount,SE,0.15,3,1,79.5,5.20E-05,1.73E-05,0.001378,0,0,0
6,Alabama,Blount,SE,0.49,26,1,101,0.0004508,1.73E-05,0.001751,0,0,0
7,Alabama,Blount,SE,0.69,25,4,80,0.0004335,6.94E-05,0.001387,0,0,0
8,Alabama,Blount,SE,0.68,9.5,4,21,0.0001647,6.94E-05,0.0003641,0,0,0
9,Alabama,Blount,SE,0.3,2,1,3,3.47E-05,1.73E-05,5.20E-05,0,0,0
10,Alabama,Blount,SE,0.02,1,1,1,1.73E-05,1.73E-05,1.73E-05,0,0,0
11,Alabama,Blount,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Blount,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Bullock,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Bullock,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Bullock,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Bullock,SE,0.01,2,2,2,0.000187,0.000187,0.000187,0,0,0
5,Alabama,Bullock,SE,0.23,2,1,214.5,0.000187,9.35E-05,0.02005,0,0,0.5
6,Alabama,Bullock,SE,0.55,166,4,431.5,0.01552,0.0003739,0.04034,0,0,4
7,Alabama,Bullock,SE,0.68,108.5,19.5,236,0.01014,0.001823,0.02206,0,0,3
8,Alabama,Bullock,SE,0.65,17,6,42,0.001589,0.0005609,0.003926,0,0,0
9,Alabama,Bullock,SE,0.48,3,1,5,0.0002805,9.35E-05,0.0004674,0,0,0
10,Alabama,Bullock,SE,0.15,1,1,2,9.35E-05,9.35E-05,0.000187,0,0,0
11,Alabama,Bullock,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Bullock,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Butler,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Butler,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Butler,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Butler,SE,0.01,1,1,1,4.96E-05,4.96E-05,4.96E-05,0,0,0
5,Alabama,Butler,SE,0.22,36.5,1,306,0.001811,4.96E-05,0.01518,0,0,3.5
6,Alabama,Butler,SE,0.54,234.5,5,516,0.01163,0.0002481,0.0256,0,0,4
7,Alabama,Butler,SE,0.77,95,27,178,0.004713,0.00134,0.008832,0,0,2
8,Alabama,Butler,SE,0.71,19,5,43.5,0.0009427,0.0002481,0.002158,0,0,0
9,Alabama,Butler,SE,0.61,4,2,8,0.0001985,9.92E-05,0.0003969,0,0,0
10,Alabama,Butler,SE,0.07,2,1.5,3,9.92E-05,7.44E-05,0.0001488,0,0,0
11,Alabama,Butler,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Butler,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Calhoun,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Calhoun,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Calhoun,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Calhoun,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Calhoun,SE,0.06,1,1,3.25,8.65E-06,8.65E-06,2.81E-05,0,0,0
6,Alabama,Calhoun,SE,0.54,89.5,3.25,196,0.0007741,2.81E-05,0.001695,0,0,1.75
7,Alabama,Calhoun,SE,0.78,45.5,8.25,127.2,0.0003935,7.14E-05,0.001101,0,0,0
8,Alabama,Calhoun,SE,0.6,12,4,25.25,0.0001038,3.46E-05,0.0002184,0,0,0
9,Alabama,Calhoun,SE,0.38,3,1,4,2.60E-05,8.65E-06,3.46E-05,0,0,0
10,Alabama,Calhoun,SE,0.02,1,1,1,8.65E-06,8.65E-06,8.65E-06,0,0,0
11,Alabama,Calhoun,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Calhoun,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Chambers,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Chambers,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Chambers,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Chambers,SE,0.03,1,1,1,2.93E-05,2.93E-05,2.93E-05,0,0,0
5,Alabama,Chambers,SE,0.21,2,1,10,5.86E-05,2.93E-05,0.000293,0,0,0
6,Alabama,Chambers,SE,0.58,109.5,10,301.8,0.003209,0.000293,0.008843,0,0,3
7,Alabama,Chambers,SE,0.68,72.5,20.25,165.5,0.002125,0.0005934,0.00485,0,0,2
8,Alabama,Chambers,SE,0.73,11,3,25,0.0003224,8.79E-05,0.0007326,0,0,0
9,Alabama,Chambers,SE,0.44,2.5,1,5,7.33E-05,2.93E-05,0.0001465,0,0,0
10,Alabama,Chambers,SE,0.03,2,1.5,2,5.86E-05,4.40E-05,5.86E-05,0,0,0
11,Alabama,Chambers,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Chambers,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Cherokee,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Cherokee,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Cherokee,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Cherokee,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Cherokee,SE,0.08,2,1,55.5,7.73E-05,3.87E-05,0.002146,0,0,0
6,Alabama,Cherokee,SE,0.46,10,2,49.5,0.0003867,7.73E-05,0.001914,0,0,0
7,Alabama,Cherokee,SE,0.7,28.5,8.25,52.75,0.001102,0.000319,0.00204,0,0,0
8,Alabama,Cherokee,SE,0.64,6,2,11.25,0.000232,7.73E-05,0.000435,0,0,0
9,Alabama,Cherokee,SE,0.44,2,1,3,7.73E-05,3.87E-05,0.000116,0,0,0
10,Alabama,Cherokee,SE,0,0,0,0,0,0,0,0,0,0
11,Alabama,Cherokee,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Cherokee,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Chilton,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Chilton,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Chilton,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Chilton,SE,0.03,1,1,269,2.28E-05,2.28E-05,0.006121,0,0,0.5
5,Alabama,Chilton,SE,0.14,1,1,33.75,2.28E-05,2.28E-05,0.000768,0,0,0
6,Alabama,Chilton,SE,0.56,173,3,603.8,0.003937,6.83E-05,0.01374,1,0,4.5
7,Alabama,Chilton,SE,0.78,90,13.5,155.8,0.002048,0.0003072,0.003544,0,0,2
8,Alabama,Chilton,SE,0.68,19,5,42,0.0004324,0.0001138,0.0009558,0,0,0
9,Alabama,Chilton,SE,0.53,3,1,5,6.83E-05,2.28E-05,0.0001138,0,0,0
10,Alabama,Chilton,SE,0.05,2,1,2,4.55E-05,2.28E-05,4.55E-05,0,0,0
11,Alabama,Chilton,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Chilton,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Choctaw,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Choctaw,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Choctaw,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Choctaw,SE,0.02,2,1.5,2.5,0.0001518,0.0001139,0.0001898,0,0,0
5,Alabama,Choctaw,SE,0.27,116,2,679,0.008807,0.0001518,0.05155,2,0,6
6,Alabama,Choctaw,SE,0.63,439,69,906,0.03333,0.005239,0.06879,3,0,7
7,Alabama,Choctaw,SE,0.83,102,21,266,0.007744,0.001594,0.0202,0,0,3
8,Alabama,Choctaw,SE,0.73,24,12,54,0.001822,0.0009111,0.0041,0,0,0
9,Alabama,Choctaw,SE,0.59,4,2,6,0.0003037,0.0001518,0.0004555,0,0,0
10,Alabama,Choctaw,SE,0.1,1,1,1,7.59E-05,7.59E-05,7.59E-05,0,0,0
11,Alabama,Choctaw,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Choctaw,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Clarke,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Clarke,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Clarke,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Clarke,SE,0.02,2.5,1.75,3.25,0.0001013,7.09E-05,0.0001317,0,0,0
5,Alabama,Clarke,SE,0.29,297,2,1031,0.01204,8.11E-05,0.04178,1,0,6
6,Alabama,Clarke,SE,0.65,421,99,1189,0.01706,0.004012,0.04818,3,0,8
7,Alabama,Clarke,SE,0.69,292,65,472,0.01183,0.002634,0.01913,0,0,4
8,Alabama,Clarke,SE,0.73,26,12,46,0.001054,0.0004863,0.001864,0,0,0
9,Alabama,Clarke,SE,0.55,5,2.5,7.5,0.0002026,0.0001013,0.0003039,0,0,0
10,Alabama,Clarke,SE,0.05,1,1,2,4.05E-05,4.05E-05,8.11E-05,0,0,0
11,Alabama,Clarke,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Clarke,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Clay,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Clay,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Clay,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Clay,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Clay,SE,0.16,1.5,1,30.5,0.0001107,7.38E-05,0.00225,0,0,0
6,Alabama,Clay,SE,0.41,24,2,64,0.00177,0.0001475,0.004721,0,0,0
7,Alabama,Clay,SE,0.61,36,9,64,0.002656,0.0006639,0.004721,0,0,0
8,Alabama,Clay,SE,0.66,8,3,14.75,0.0005901,0.0002213,0.001088,0,0,0
9,Alabama,Clay,SE,0.45,2,1,4,0.0001475,7.38E-05,0.0002951,0,0,0
10,Alabama,Clay,SE,0.03,1,1,1.5,7.38E-05,7.38E-05,0.0001107,0,0,0
11,Alabama,Clay,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Clay,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Cleburne,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Cleburne,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Cleburne,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Cleburne,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Cleburne,SE,0.12,1,1,1.25,6.66E-05,6.66E-05,8.32E-05,0,0,0
6,Alabama,Cleburne,SE,0.44,24.5,1.75,129.5,0.001631,0.0001165,0.008622,0,0,0
7,Alabama,Cleburne,SE,0.57,31,7,62,0.002064,0.0004661,0.004128,0,0,0
8,Alabama,Cleburne,SE,0.58,7,2.25,17.5,0.0004661,0.0001498,0.001165,0,0,0
9,Alabama,Cleburne,SE,0.39,2,1,4.5,0.0001332,6.66E-05,0.0002996,0,0,0
10,Alabama,Cleburne,SE,0.02,1,1,1,6.66E-05,6.66E-05,6.66E-05,0,0,0
11,Alabama,Cleburne,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Cleburne,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Coffee,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Coffee,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Coffee,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Coffee,SE,0.06,1,1,1,1.95E-05,1.95E-05,1.95E-05,0,0,0
5,Alabama,Coffee,SE,0.28,10,1,1365,0.0001953,1.95E-05,0.02666,0,0,12.25
6,Alabama,Coffee,SE,0.59,807,152.5,2311,0.01576,0.002978,0.04513,5,0,15.5
7,Alabama,Coffee,SE,0.77,211,44,433,0.00412,0.0008592,0.008455,0,0,3
8,Alabama,Coffee,SE,0.76,46.5,22,94.75,0.000908,0.0004296,0.00185,0,0,0
9,Alabama,Coffee,SE,0.64,4,2,9,7.81E-05,3.91E-05,0.0001757,0,0,0
10,Alabama,Coffee,SE,0.16,1,1,1,1.95E-05,1.95E-05,1.95E-05,0,0,0
11,Alabama,Coffee,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Coffee,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Colbert,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Colbert,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Colbert,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Colbert,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Colbert,SE,0.12,4,1,39.75,7.36E-05,1.84E-05,0.0007313,0,0,0
6,Alabama,Colbert,SE,0.51,5,2,75.5,9.20E-05,3.68E-05,0.001389,0,0,0
7,Alabama,Colbert,SE,0.67,21,4.5,60.5,0.0003863,8.28E-05,0.001113,0,0,0
8,Alabama,Colbert,SE,0.68,8,2.75,16.5,0.0001472,5.06E-05,0.0003036,0,0,0
9,Alabama,Colbert,SE,0.33,2,1,3,3.68E-05,1.84E-05,5.52E-05,0,0,0
10,Alabama,Colbert,SE,0,0,0,0,0,0,0,0,0,0
11,Alabama,Colbert,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Colbert,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Conecuh,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Conecuh,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Conecuh,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Conecuh,SE,0.02,1,1,1,7.89E-05,7.89E-05,7.89E-05,0,0,0
5,Alabama,Conecuh,SE,0.26,2,1,98.5,0.0001578,7.89E-05,0.007772,0,0,0
6,Alabama,Conecuh,SE,0.56,546.5,36.75,955.2,0.04312,0.0029,0.07538,3,0,8
7,Alabama,Conecuh,SE,0.79,191,52.5,397,0.01507,0.004143,0.03133,0,0,3
8,Alabama,Conecuh,SE,0.75,22,8,66,0.001736,0.0006313,0.005208,0,0,0
9,Alabama,Conecuh,SE,0.58,3,2,7,0.0002367,0.0001578,0.0005524,0,0,0
10,Alabama,Conecuh,SE,0.04,1,1,1,7.89E-05,7.89E-05,7.89E-05,0,0,0
11,Alabama,Conecuh,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Conecuh,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Coosa,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Coosa,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Coosa,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Coosa,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Coosa,SE,0.2,2,1,167.8,0.0001865,9.32E-05,0.01564,0,0,0
6,Alabama,Coosa,SE,0.46,67,3,179,0.006247,0.0002797,0.01669,0,0,0.75
7,Alabama,Coosa,SE,0.66,50.5,8.75,72.75,0.004709,0.0008159,0.006783,0,0,0
8,Alabama,Coosa,SE,0.7,10.5,4,27,0.000979,0.000373,0.002517,0,0,0
9,Alabama,Coosa,SE,0.5,2,1,4,0.0001865,9.32E-05,0.000373,0,0,0
10,Alabama,Coosa,SE,0.04,1,1,1,9.32E-05,9.32E-05,9.32E-05,0,0,0
11,Alabama,Coosa,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Coosa,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Covington,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Covington,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Covington,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Covington,SE,0.02,2,1.5,2.5,5.29E-05,3.96E-05,6.61E-05,0,0,0
5,Alabama,Covington,SE,0.33,127,3,1298,0.003357,7.93E-05,0.03431,1,0,11
6,Alabama,Covington,SE,0.65,516,139,1077,0.01364,0.003674,0.02846,3,0,10
7,Alabama,Covington,SE,0.7,304.5,56.75,513.8,0.008048,0.0015,0.01358,2.5,0,6
8,Alabama,Covington,SE,0.76,29,7.5,67,0.0007665,0.0001982,0.001771,0,0,0
9,Alabama,Covington,SE,0.65,5,3,9,0.0001321,7.93E-05,0.0002379,0,0,0
10,Alabama,Covington,SE,0.08,1,1,1.25,2.64E-05,2.64E-05,3.30E-05,0,0,0
11,Alabama,Covington,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Covington,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Crenshaw,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Crenshaw,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Crenshaw,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Crenshaw,SE,0.01,2,2,2,0.0001432,0.0001432,0.0001432,0,0,0
5,Alabama,Crenshaw,SE,0.31,28,2,588.5,0.002005,0.0001432,0.04214,0,0,4
6,Alabama,Crenshaw,SE,0.62,265.5,79,772.8,0.01901,0.005657,0.05534,2.5,0,7
7,Alabama,Crenshaw,SE,0.68,94,35.25,282,0.006732,0.002524,0.02019,0,0,2
8,Alabama,Crenshaw,SE,0.64,20,4.75,36.25,0.001432,0.0003402,0.002596,0,0,0
9,Alabama,Crenshaw,SE,0.57,5,2,7,0.0003581,0.0001432,0.0005013,0,0,0
10,Alabama,Crenshaw,SE,0.1,1,1,1,7.16E-05,7.16E-05,7.16E-05,0,0,0
11,Alabama,Crenshaw,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Crenshaw,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Cullman,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Cullman,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Cullman,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Cullman,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Cullman,SE,0.06,2,1.25,4.25,2.44E-05,1.52E-05,5.18E-05,0,0,0
6,Alabama,Cullman,SE,0.57,11,2,66,0.0001341,2.44E-05,0.0008048,0,0,0
7,Alabama,Cullman,SE,0.63,22,4.5,57,0.0002683,5.49E-05,0.0006951,0,0,0
8,Alabama,Cullman,SE,0.68,9,2,19.25,0.0001097,2.44E-05,0.0002347,0,0,0
9,Alabama,Cullman,SE,0.4,2,1,3,2.44E-05,1.22E-05,3.66E-05,0,0,0
10,Alabama,Cullman,SE,0.01,1,1,1,1.22E-05,1.22E-05,1.22E-05,0,0,0
11,Alabama,Cullman,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Cullman,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Dale,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Dale,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Dale,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Dale,SE,0.06,1,1,1,2.02E-05,2.02E-05,2.02E-05,0,0,0
5,Alabama,Dale,SE,0.32,3,2,856.8,6.05E-05,4.04E-05,0.01729,0,0,8.25
6,Alabama,Dale,SE,0.63,1255,333,2844,0.02532,0.006718,0.05739,12,3,31.5
7,Alabama,Dale,SE,0.7,240,100.2,593.2,0.004842,0.002023,0.01197,2,0,6
8,Alabama,Dale,SE,0.7,34.5,8.25,70,0.000696,0.0001664,0.001412,0,0,0
9,Alabama,Dale,SE,0.68,4,2,9.25,8.07E-05,4.04E-05,0.0001866,0,0,0
10,Alabama,Dale,SE,0.07,1,1,2,2.02E-05,2.02E-05,4.04E-05,0,0,0
11,Alabama,Dale,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Dale,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Dallas,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Dallas,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Dallas,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Dallas,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Dallas,SE,0.25,398,1,982,0.009676,2.43E-05,0.02387,2,0,9
6,Alabama,Dallas,SE,0.59,282,11.5,668.5,0.006856,0.0002796,0.01625,2,0,6
7,Alabama,Dallas,SE,0.77,114,28,311,0.002772,0.0006807,0.007561,0,0,3
8,Alabama,Dallas,SE,0.67,26,11.5,55,0.0006321,0.0002796,0.001337,0,0,0
9,Alabama,Dallas,SE,0.56,3,2,6,7.29E-05,4.86E-05,0.0001459,0,0,0
10,Alabama,Dallas,SE,0.03,2,1.5,3,4.86E-05,3.65E-05,7.29E-05,0,0,0
11,Alabama,Dallas,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Dallas,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,De Kalb,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,De Kalb,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,De Kalb,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,De Kalb,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,De Kalb,SE,0.07,1,1,59.5,1.41E-05,1.41E-05,0.0008365,0,0,0
6,Alabama,De Kalb,SE,0.45,10,2,35,0.0001406,2.81E-05,0.000492,0,0,0
7,Alabama,De Kalb,SE,0.66,15,4.25,30.25,0.0002109,5.98E-05,0.0004253,0,0,0
8,Alabama,De Kalb,SE,0.58,5.5,3,11,7.73E-05,4.22E-05,0.0001546,0,0,0
9,Alabama,De Kalb,SE,0.3,2,1,3,2.81E-05,1.41E-05,4.22E-05,0,0,0
10,Alabama,De Kalb,SE,0,0,0,0,0,0,0,0,0,0
11,Alabama,De Kalb,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,De Kalb,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Elmore,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Elmore,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Elmore,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Elmore,SE,0,0,0,0,0,0,0,0,0,0
5,Alabama,Elmore,SE,0.17,2,1,610,2.46E-05,1.23E-05,0.007488,0,0,4
6,Alabama,Elmore,SE,0.56,201.5,4.75,495.8,0.002473,5.83E-05,0.006085,1,0,5
7,Alabama,Elmore,SE,0.75,112,36,249,0.001375,0.0004419,0.003056,0,0,3
8,Alabama,Elmore,SE,0.74,17.5,6,43.5,0.0002148,7.37E-05,0.0005339,0,0,0
9,Alabama,Elmore,SE,0.51,4,2,7,4.91E-05,2.46E-05,8.59E-05,0,0,0
10,Alabama,Elmore,SE,0.11,1,1,2.5,1.23E-05,1.23E-05,3.07E-05,0,0,0
11,Alabama,Elmore,SE,0,0,0,0,0,0,0,0,0,0
12,Alabama,Elmore,SE,0,0,0,0,0,0,0,0,0,0
1,Alabama,Escambia,SE,0,0,0,0,0,0,0,0,0,0
2,Alabama,Escambia,SE,0,0,0,0,0,0,0,0,0,0
3,Alabama,Escambia,SE,0,0,0,0,0,0,0,0,0,0
4,Alabama,Escambia,SE,0.06,2.5,1.25,783,6.62E-05,3.31E-05,0.02072,0,0,8.25
5,Alabama,Escambia,SE,0.3,3,1,237.8,7.94E-05,2.65E-05,0.006291,0,0,3.5
